timestamp,symbol,opening,high,low,closing,volume,trades,vwap,home_notional,foreign_notional,bin_size
2016-03-10 00:00:00+00:00,XBTUSD,412.49,414.15,408.1,413.64,218286,497,411.124,897.4266147,368957.8576601466,1d
2016-03-11 00:00:00+00:00,XBTUSD,413.64,418.08,411.06,418.03,316241,226,414.499,1310.8161142,543348.4793235544,1d
2016-03-12 00:00:00+00:00,XBTUSD,418.03,423.48,416.61,421.87,648801,424,420.517,2728.3172610000006,1147317.67151652,1d
2016-03-13 00:00:00+00:00,XBTUSD,421.87,421.96,407.23,411.4,878204,451,413.89,3634.7977314000022,1504521.353690029,1d
2016-03-14 00:00:00+00:00,XBTUSD,411.4,416.17,411.17,412.58,147641,212,413.534,610.5457459999994,252484.32237167357,1d
2016-03-15 00:00:00+00:00,XBTUSD,412.58,416.01,412.58,415.68,153706,168,414.488,637.0924592,264067.64872340194,1d
2016-03-16 00:00:00+00:00,XBTUSD,415.68,418.05,413.25,415.53,168834,185,415.9,702.1805974,292038.0086395819,1d
2016-03-17 00:00:00+00:00,XBTUSD,415.53,417.73,413.47,416.86,118770,145,415.764,493.80299599999984,205306.360376688,1d
2016-03-18 00:00:00+00:00,XBTUSD,416.86,419.46,417.0,419.2,124519,121,418.561,521.1884040999997,218149.59887513504,1d
2016-03-19 00:00:00+00:00,XBTUSD,419.2,418.6,402.49,408.68,406058,379,410.677,1667.5870573999991,684915.2096293721,1d
2016-03-20 00:00:00+00:00,XBTUSD,408.68,409.81,403.68,409.25,316965,302,407.122,1290.4342696000017,525369.7503932917,1d
2016-03-21 00:00:00+00:00,XBTUSD,409.25,412.55,406.81,412.24,258957,288,410.31,1062.5260002000002,435967.7084746078,1d
2016-03-22 00:00:00+00:00,XBTUSD,412.24,412.25,407.53,412.25,239995,237,409.303,982.3070589999995,402064.5431764078,1d
2016-03-23 00:00:00+00:00,XBTUSD,412.25,417.77,411.18,416.99,233530,240,415.247,969.7261256000002,402679.413369562,1d
2016-03-24 00:00:00+00:00,XBTUSD,416.99,419.0,414.55,416.57,440562,259,416.647,1835.5893503999994,764797.08227048,1d
2016-03-25 00:00:00+00:00,XBTUSD,416.57,418.36,412.41,415.67,375917,224,415.168,1560.687821999999,647954.3951394961,1d
2016-03-26 00:00:00+00:00,XBTUSD,415.67,416.84,410.88,415.82,298790,215,415.003,1239.9880758999982,514605.57234091515,1d
2016-03-27 00:00:00+00:00,XBTUSD,415.82,418.4,413.45,416.5,214610,141,415.879,892.5181094,371182.91488994594,1d
2016-03-28 00:00:00+00:00,XBTUSD,416.5,433.97,415.82,425.5,1055387,704,425.722,4493.0172117999955,1912980.8583478162,1d
2016-03-29 00:00:00+00:00,XBTUSD,425.5,427.76,421.73,422.46,500286,301,424.265,2122.5385353999995,900526.3486431258,1d
2016-03-30 00:00:00+00:00,XBTUSD,422.46,425.09,406.9,414.58,554114,486,415.8,2304.0078355999995,958111.4089483075,1d
2016-03-31 00:00:00+00:00,XBTUSD,414.58,414.99,408.62,412.09,271640,370,412.15,1119.5631693000003,461433.1730482031,1d
2016-04-01 00:00:00+00:00,XBTUSD,412.09,416.75,412.08,415.49,277938,294,414.536,1152.152027699999,477609.94535172713,1d
2016-04-02 00:00:00+00:00,XBTUSD,415.49,417.04,413.39,417.04,155005,100,415.702,644.3581350000003,267861.276784284,1d
2016-04-03 00:00:00+00:00,XBTUSD,417.04,422.07,417.03,420.0,276964,190,420.083,1163.4791303000004,488760.1794444651,1d
2016-04-04 00:00:00+00:00,XBTUSD,420.0,420.69,416.6,419.6,217898,179,419.277,913.5953499,383050.62341068295,1d
2016-04-05 00:00:00+00:00,XBTUSD,419.6,420.52,417.64,419.55,151366,193,418.97,634.1786094999994,265702.8886783269,1d
2016-04-06 00:00:00+00:00,XBTUSD,419.55,423.98,419.28,423.24,196764,214,422.002,830.3471631000004,350410.113828301,1d
2016-04-07 00:00:00+00:00,XBTUSD,423.24,423.52,420.96,422.04,169323,166,422.146,714.7902534000015,301746.26399944274,1d
2016-04-08 00:00:00+00:00,XBTUSD,422.04,422.37,417.92,421.4,136234,147,420.837,573.3229847000001,241276.77732358093,1d
2016-04-09 00:00:00+00:00,XBTUSD,421.4,423.51,415.0,417.99,333475,326,419.978,1400.5201918999992,588210.5002401689,1d
